Date,Open,High,Low,Close
Fri Jan 10 2025 13:20:00 GMT+0530 (India Standard Time),1681.05,1681.95,1680.0,1681.5
Fri Jan 10 2025 13:25:00 GMT+0530 (India Standard Time),1681.55,1682.6,1677.5,1677.6
Fri Jan 10 2025 13:30:00 GMT+0530 (India Standard Time),1677.85,1680.0,1676.0,1678.05
Fri Jan 10 2025 13:35:00 GMT+0530 (India Standard Time),1678.15,1678.15,1676.05,1676.9
Fri Jan 10 2025 13:40:00 GMT+0530 (India Standard Time),1677.05,1678.65,1674.2,1676.5
Fri Jan 10 2025 13:45:00 GMT+0530 (India Standard Time),1676.5,1676.6,1672.0,1672.9
Fri Jan 10 2025 13:50:00 GMT+0530 (India Standard Time),1672.7,1673.6,1669.2,1669.7
Fri Jan 10 2025 13:55:00 GMT+0530 (India Standard Time),1670.0,1670.9,1668.5,1669.1
Fri Jan 10 2025 14:00:00 GMT+0530 (India Standard Time),1669.1,1669.75,1662.55,1663.95
Fri Jan 10 2025 14:05:00 GMT+0530 (India Standard Time),1664.0,1664.6,1660.95,1662.1
Fri Jan 10 2025 14:10:00 GMT+0530 (India Standard Time),1661.35,1662.75,1656.8,1658.9
Fri Jan 10 2025 14:15:00 GMT+0530 (India Standard Time),1658.9,1659.75,1657.05,1658.2
Fri Jan 10 2025 14:20:00 GMT+0530 (India Standard Time),1658.15,1659.5,1656.2,1657.35
Fri Jan 10 2025 14:25:00 GMT+0530 (India Standard Time),1657.0,1659.3,1655.15,1658.1
Fri Jan 10 2025 14:30:00 GMT+0530 (India Standard Time),1658.1,1658.95,1655.95,1656.4
Fri Jan 10 2025 14:35:00 GMT+0530 (India Standard Time),1656.4,1660.25,1655.0,1659.4
Fri Jan 10 2025 14:40:00 GMT+0530 (India Standard Time),1659.4,1664.95,1659.0,1664.05
Fri Jan 10 2025 14:45:00 GMT+0530 (India Standard Time),1664.05,1664.6,1660.65,1661.5
Fri Jan 10 2025 14:50:00 GMT+0530 (India Standard Time),1661.6,1664.4,1660.2,1663.5
Fri Jan 10 2025 14:55:00 GMT+0530 (India Standard Time),1663.5,1665.0,1660.65,1661.0
Fri Jan 10 2025 15:00:00 GMT+0530 (India Standard Time),1661.6,1663.0,1656.0,1658.4
Fri Jan 10 2025 15:05:00 GMT+0530 (India Standard Time),1658.0,1659.15,1657.25,1659.0
Fri Jan 10 2025 15:10:00 GMT+0530 (India Standard Time),1659.3,1662.0,1658.25,1660.8
Fri Jan 10 2025 15:15:00 GMT+0530 (India Standard Time),1660.65,1667.15,1660.3,1667.15
Fri Jan 10 2025 15:20:00 GMT+0530 (India Standard Time),1667.15,1670.0,1666.8,1670.0
Fri Jan 10 2025 15:25:00 GMT+0530 (India Standard Time),1670.75,1671.85,1666.75,1666.75
